id,channel_name_key,chat_order,crowdin_lang,desc,flag,GM_lang,GM_lang_para,hero_voice,is_game_lang,lang_name,system_mail_lang
98,chat_channel_name_01,1,en,,CO,en,,en,0,en,en
99,chat_channel_name_01,1,en,,CR,en,,en,0,en,en
100,chat_channel_name_01,1,en,,CU,en,,en,0,en,en
101,chat_channel_name_01,1,en,,CV,en,,en,0,en,en
102,chat_channel_name_01,1,en,,CX,en,,en,0,en,en
103,chat_channel_name_01,1,en,,DJ,en,,en,0,en,en
104,chat_channel_name_01,1,en,,DO,en,,en,0,en,en
105,chat_channel_name_01,1,en,,DZ,en,,en,0,en,en
106,chat_channel_name_01,1,en,,EC,en,,en,0,en,en
107,chat_channel_name_01,1,en,,EG,en,,en,0,en,en
108,chat_channel_name_01,1,en,,ER,en,,en,0,en,en
109,chat_channel_name_01,1,en,,ET,en,,en,0,en,en
110,chat_channel_name_01,1,en,,FJ,en,,en,0,en,en
111,chat_channel_name_01,1,en,,FK,en,,en,0,en,en
112,chat_channel_name_01,1,en,,FM,en,,en,0,en,en
113,chat_channel_name_01,1,en,,FO,en,,en,0,en,en
114,chat_channel_name_01,1,en,,GA,en,,en,0,en,en
115,chat_channel_name_01,1,en,,GD,en,,en,0,en,en
116,chat_channel_name_01,1,en,,GE,en,,en,0,en,en
117,chat_channel_name_01,1,en,,GG,en,,en,0,en,en
118,chat_channel_name_01,1,en,,GH,en,,en,0,en,en
119,chat_channel_name_01,1,en,,GI,en,,en,0,en,en
120,chat_channel_name_01,1,en,,GL,en,,en,0,en,en
121,chat_channel_name_01,1,en,,GM,en,,en,0,en,en
122,chat_channel_name_01,1,en,,GN,en,,en,0,en,en
123,chat_channel_name_01,1,en,,GQ,en,,en,0,en,en
124,chat_channel_name_01,1,en,,GS,en,,en,0,en,en
125,chat_channel_name_01,1,en,,GT,en,,en,0,en,en
126,chat_channel_name_01,1,en,,GU,en,,en,0,en,en
127,chat_channel_name_01,1,en,,GW,en,,en,0,en,en
128,chat_channel_name_01,1,en,,GY,en,,en,0,en,en
129,chat_channel_name_01,1,en,,HM,en,,en,0,en,en
130,chat_channel_name_01,1,en,,HN,en,,en,0,en,en
131,chat_channel_name_01,1,en,,HT,en,,en,0,en,en
132,chat_channel_name_01,1,en,,IL,en,,en,0,en,en
133,chat_channel_name_01,1,en,,IM,en,,en,0,en,en
134,chat_channel_name_01,1,en,,IN,en,,en,0,en,en
135,chat_channel_name_01,1,en,,IO,en,,en,0,en,en
136,chat_channel_name_01,1,en,,IQ,en,,en,0,en,en
137,chat_channel_name_01,1,en,,IR,en,,en,0,en,en
138,chat_channel_name_01,1,en,,JE,en,,en,0,en,en
139,chat_channel_name_01,1,en,,JM,en,,en,0,en,en
140,chat_channel_name_01,1,en,,JO,en,,en,0,en,en
141,chat_channel_name_01,1,en,,KE,en,,en,0,en,en
142,chat_channel_name_01,1,en,,KG,en,,en,0,en,en
143,chat_channel_name_01,1,en,,KH,en,,en,0,en,en
144,chat_channel_name_01,1,en,,KI,en,,en,0,en,en
145,chat_channel_name_01,1,en,,KM,en,,en,0,en,en
146,chat_channel_name_01,1,en,,KN,en,,en,0,en,en
147,chat_channel_name_01,1,en,,UN,en,,en,0,en,en
148,chat_channel_name_01,1,en,,KW,en,,en,0,en,en
149,chat_channel_name_01,1,en,,KY,en,,en,0,en,en
150,chat_channel_name_01,1,en,,KZ,en,,en,0,en,en
151,chat_channel_name_01,1,en,,LA,en,,en,0,en,en
152,chat_channel_name_01,1,en,,LB,en,,en,0,en,en
153,chat_channel_name_01,1,en,,LC,en,,en,0,en,en
154,chat_channel_name_01,1,en,,LI,en,,en,0,en,en
155,chat_channel_name_01,1,en,,LK,en,,en,0,en,en
156,chat_channel_name_01,1,en,,LR,en,,en,0,en,en
157,chat_channel_name_01,1,en,,LS,en,,en,0,en,en
158,chat_channel_name_01,1,en,,LY,en,,en,0,en,en
159,chat_channel_name_01,1,en,,MA,en,,en,0,en,en
160,chat_channel_name_01,1,en,,MC,en,,en,0,en,en
161,chat_channel_name_01,1,en,,MD,en,,en,0,en,en
162,chat_channel_name_01,1,en,,ME,en,,en,0,en,en
163,chat_channel_name_01,1,en,,MG,en,,en,0,en,en
164,chat_channel_name_01,1,en,,MH,en,,en,0,en,en
165,chat_channel_name_01,1,en,,MK,en,,en,0,en,en
166,chat_channel_name_01,1,en,,ML,en,,en,0,en,en
167,chat_channel_name_01,1,en,,MM,en,,en,0,en,en
168,chat_channel_name_01,1,en,,MN,en,,en,0,en,en
169,chat_channel_name_01,1,en,,MP,en,,en,0,en,en
170,chat_channel_name_01,1,en,,MQ,en,,en,0,en,en
171,chat_channel_name_01,1,en,,MR,en,,en,0,en,en
172,chat_channel_name_01,1,en,,MS,en,,en,0,en,en
173,chat_channel_name_01,1,en,,MU,en,,en,0,en,en
174,chat_channel_name_01,1,en,,MV,en,,en,0,en,en
175,chat_channel_name_01,1,en,,MW,en,,en,0,en,en
176,chat_channel_name_01,1,en,,MZ,en,,en,0,en,en
177,chat_channel_name_01,1,en,,NA,en,,en,0,en,en
178,chat_channel_name_01,1,en,,NC,en,,en,0,en,en
179,chat_channel_name_01,1,en,,NE,en,,en,0,en,en
180,chat_channel_name_01,1,en,,NF,en,,en,0,en,en
181,chat_channel_name_01,1,en,,NG,en,,en,0,en,en
182,chat_channel_name_01,1,en,,NI,en,,en,0,en,en
183,chat_channel_name_01,1,en,,NP,en,,en,0,en,en
184,chat_channel_name_01,1,en,,NR,en,,en,0,en,en
185,chat_channel_name_01,1,en,,NU,en,,en,0,en,en
186,chat_channel_name_01,1,en,,OM,en,,en,0,en,en
187,chat_channel_name_01,1,en,,PA,en,,en,0,en,en
188,chat_channel_name_01,1,en,,PE,en,,en,0,en,en
189,chat_channel_name_01,1,en,,PF,en,,en,0,en,en
190,chat_channel_name_01,1,en,,PG,en,,en,0,en,en
191,chat_channel_name_01,1,en,,PK,en,,en,0,en,en
192,chat_channel_name_01,1,en,,PM,en,,en,0,en,en
193,chat_channel_name_01,1,en,,PN,en,,en,0,en,en
194,chat_channel_name_01,1,en,,PR,en,,en,0,en,en
195,chat_channel_name_01,1,en,,PS,en,,en,0,en,en
196,chat_channel_name_01,1,en,,PW,en,,en,0,en,en
197,chat_channel_name_01,1,en,,PY,en,,en,0,en,en
198,chat_channel_name_01,1,en,,QA,en,,en,0,en,en
199,chat_channel_name_01,1,en,,RS,en,,en,0,en,en
200,chat_channel_name_01,1,en,,RW,en,,en,0,en,en
201,chat_channel_name_01,1,en,,SA,en,,en,0,en,en
202,chat_channel_name_01,1,en,,SB,en,,en,0,en,en
203,chat_channel_name_01,1,en,,SC,en,,en,0,en,en
204,chat_channel_name_01,1,en,,SD,en,,en,0,en,en
205,chat_channel_name_01,1,en,,SL,en,,en,0,en,en
206,chat_channel_name_01,1,en,,SM,en,,en,0,en,en
207,chat_channel_name_01,1,en,,SN,en,,en,0,en,en
208,chat_channel_name_01,1,en,,SO,en,,en,0,en,en
209,chat_channel_name_01,1,en,,SR,en,,en,0,en,en
210,chat_channel_name_01,1,en,,SS,en,,en,0,en,en
211,chat_channel_name_01,1,en,,ST,en,,en,0,en,en
212,chat_channel_name_01,1,en,,SV,en,,en,0,en,en
213,chat_channel_name_01,1,en,,SX,en,,en,0,en,en
214,chat_channel_name_01,1,en,,SY,en,,en,0,en,en
215,chat_channel_name_01,1,en,,SZ,en,,en,0,en,en
216,chat_channel_name_01,1,en,,TC,en,,en,0,en,en
217,chat_channel_name_01,1,en,,TD,en,,en,0,en,en
218,chat_channel_name_01,1,en,,TG,en,,en,0,en,en
219,chat_channel_name_01,1,en,,TJ,en,,en,0,en,en
220,chat_channel_name_01,1,en,,TK,en,,en,0,en,en
221,chat_channel_name_01,1,en,,TL,en,,en,0,en,en
222,chat_channel_name_01,1,en,,TM,en,,en,0,en,en
223,chat_channel_name_01,1,en,,TN,en,,en,0,en,en
224,chat_channel_name_01,1,en,,TO,en,,en,0,en,en
225,chat_channel_name_01,1,en,,TT,en,,en,0,en,en
226,chat_channel_name_01,1,en,,TV,en,,en,0,en,en
227,chat_channel_name_01,1,en,,UN,en,,en,0,en,en
228,chat_channel_name_01,1,en,,TZ,en,,en,0,en,en
229,chat_channel_name_229,229,uk,Українська,UA,uk,乌克兰,en,1,uk,uk
230,chat_channel_name_01,1,en,,UG,en,,en,0,en,en
231,chat_channel_name_01,1,en,,UY,en,,en,0,en,en
232,chat_channel_name_01,1,en,,UZ,en,,en,0,en,en
233,chat_channel_name_01,1,en,,VA,en,,en,0,en,en
234,chat_channel_name_01,1,en,,VC,en,,en,0,en,en
235,chat_channel_name_01,1,en,,VE,en,,en,0,en,en
236,chat_channel_name_01,1,en,,VG,en,,en,0,en,en
237,chat_channel_name_01,1,en,,VI,en,,en,0,en,en
238,chat_channel_name_01,1,en,,VU,en,,en,0,en,en
239,chat_channel_name_01,1,en,,UN,en,,en,0,en,en
240,chat_channel_name_01,1,en,,YE,en,,en,0,en,en
241,chat_channel_name_01,1,en,,ZA,en,,en,0,en,en
242,chat_channel_name_01,1,en,,ZM,en,,en,0,en,en
243,chat_channel_name_01,1,en,,ZW,en,,en,0,en,en
244,chat_channel_name_01,1,he,,UN,he,,en,0,en,he
999,chat_channel_name_01,1,en,English,UN,en,,en,0,un,en
