id,desc,good_id,good_num,start_time,uid
2,Repay_Text_11,401,10,1724674509,3098804225
1000001,Repay_Text_12,220005,35,1723860000,33556145953
1000002,Repay_Text_12,220005,35,1723860000,127491778370
1000003,Repay_Text_12,220005,35,1723860000,199666706210
1000004,Repay_Text_12,220005,21,1723860000,60925486890
1000005,Repay_Text_12,220005,21,1723860000,22362203932
1000006,Repay_Text_12,220005,21,1723860000,161075570513
1000007,Repay_Text_12,220005,21,1723860000,74429572911
1000008,Repay_Text_12,220005,14,1723860000,182583043928
1000009,Repay_Text_12,220005,34,1723860000,38115878691
1000010,Repay_Text_12,220005,29,1723860000,151547291443
1000011,Repay_Text_12,220005,28,1723860000,64967812907
1000012,Repay_Text_12,220005,25,1723860000,342729959205
1000013,Repay_Text_12,220005,25,1723860000,342250301221
1000014,Repay_Text_12,220005,20,1723860000,78211917616
1000015,Repay_Text_12,220005,18,1723860000,118685968191
1000016,Repay_Text_12,220005,17,1723860000,132344391492
1000017,Repay_Text_12,220005,17,1723860000,31213954849
1000018,Repay_Text_12,220005,17,1723860000,298940573479
1000019,Repay_Text_12,220005,17,1723860000,114934032190
1000020,Repay_Text_12,220005,16,1723860000,250513860425
1000021,Repay_Text_12,220005,16,1723860000,327070590755
1000022,Repay_Text_12,220005,15,1723860000,130806523716
1000023,Repay_Text_12,220005,15,1723860000,141315745608
1000024,Repay_Text_12,220005,14,1723860000,141642245961
1000025,Repay_Text_12,220005,13,1723860000,160580314958
1000026,Repay_Text_12,220005,12,1723860000,172597258068
1000027,Repay_Text_12,220005,12,1723860000,180822026070
1000028,Repay_Text_12,220005,12,1723860000,328529225507
1000029,Repay_Text_12,220005,12,1723860000,17244038937
1000030,Repay_Text_12,220005,12,1723860000,126616020770
1000031,Repay_Text_12,220005,11,1723860000,199562897248
1000032,Repay_Text_12,220005,11,1723860000,111478449981
1000033,Repay_Text_12,220005,10,1723860000,205915563874
1000034,Repay_Text_12,220005,10,1723860000,208901973859
1000035,Repay_Text_12,220005,9,1723860000,131089835844
1000036,Repay_Text_12,220005,9,1723860000,298868483879
1000037,Repay_Text_12,220005,8,1723860000,110710171452
1000038,Repay_Text_12,220005,8,1723860000,81344866086
1000039,Repay_Text_12,220005,8,1723860000,200902256480
1000040,Repay_Text_12,220005,8,1723860000,115355100990
1000041,Repay_Text_13,220005,9,1732845600,353868785561
1000042,Repay_Text_13,220005,9,1732845600,353484744601
1000043,Repay_Text_13,220005,2,1732845600,464450561990
1000044,Repay_Text_13,220005,34,1732845600,399541413803
1000045,Repay_Text_13,220005,1,1732845600,397720692651
1000046,Repay_Text_13,220005,15,1732845600,436014491579
1000047,Repay_Text_13,220005,4,1732845600,435827976123
1000048,Repay_Text_13,203037,4,1732845600,324055738254
1000049,Repay_Text_13,220005,6,1732845600,339640395668
1000050,Repay_Text_13,203034,36,1732845600,339165718420
1000051,Repay_Text_13,154,534,1732845600,438886082492
1000052,Repay_Text_13,220005,3,1732845600,394429605801
1000053,Repay_Text_13,156,40,1732845600,434191148986
1000054,Repay_Text_13,200405,59,1732845600,466129135559
1000055,Repay_Text_13,220005,2,1732845600,388407437223
1000056,Repay_Text_13,200405,51,1732845600,387237554087
1000057,Repay_Text_13,156,32,1732845600,407401015215
1000058,Repay_Text_13,220005,1,1732845600,451750537112
1000059,Repay_Text_13,200405,20,1732845600,375999965090
